File,Line,Error_Type,Message_Template
"src/codegen/lower/mod.rs",206,codegen,".map_err(|e| CompileError::codegen(format!("declare data error: {e}")))?;"
"src/codegen/lower/mod.rs",209,codegen,".map_err(|e| CompileError::codegen(format!("define data error: {e}")))?;"
"src/codegen/lower/mod.rs",472,codegen,"CompileError::codegen(format!("undefined variable '{}'", target.node))"
"src/codegen/lower/mod.rs",486,codegen,".ok_or_else(|| CompileError::codegen(format!("unknown field '{}' on class '{class_name}'", field.node)))? as i32 * POINTER_SIZE;"
"src/codegen/lower/mod.rs",524,codegen,"CompileError::codegen("break outside of loop".to_string())"
"src/codegen/lower/mod.rs",532,codegen,"CompileError::codegen("continue outside of loop".to_string())"
"src/codegen/lower/mod.rs",739,codegen,"_ => Err(CompileError::codegen("for loop requires array, range, string, receiver, or stream".to_string())),"
"src/codegen/lower/mod.rs",752,codegen,"_ => return Err(CompileError::codegen("expected range expression".to_string())),"
"src/codegen/lower/mod.rs",847,codegen,"_ => return Err(CompileError::codegen("for loop requires array".to_string())),"
"src/codegen/lower/mod.rs",1118,codegen,"_ => return Err(CompileError::codegen("for-in requires receiver".to_string())),"
"src/codegen/lower/mod.rs",1202,codegen,"_ => return Err(CompileError::codegen("for-in requires stream".to_string())),"
"src/codegen/lower/mod.rs",1292,codegen,"_ => return Err(CompileError::codegen("match on non-enum".to_string())),"
"src/codegen/lower/mod.rs",1295,codegen,"CompileError::codegen(format!("unknown enum '{enum_name}'"))"
"src/codegen/lower/mod.rs",1415,codegen,"CompileError::codegen(format!("unknown error '{}'", error_name.node))"
"src/codegen/lower/mod.rs",1465,codegen,"CompileError::codegen("missing ScopeResolution for scope block".to_string())"
"src/codegen/lower/mod.rs",1503,codegen,"CompileError::codegen(format!("scope: unknown class '{class_name}'"))"
"src/codegen/lower/mod.rs",1516,codegen,"CompileError::codegen(format!("scope: unknown field '{field_name}' on '{class_name}'"))"
"src/codegen/lower/mod.rs",1525,codegen,"CompileError::codegen(format!("
"src/codegen/lower/mod.rs",1558,codegen,"CompileError::codegen(format!("
"src/codegen/lower/mod.rs",1861,codegen,"CompileError::codegen(format!("undefined variable '{name}'"))"
"src/codegen/lower/mod.rs",1893,codegen,"_ => Err(CompileError::codegen("invalid cast in lowered AST".to_string())),"
"src/codegen/lower/mod.rs",1959,codegen,"Err(CompileError::codegen(format!("index on non-indexable type {obj_type}")))"
"src/codegen/lower/mod.rs",1964,codegen,"CompileError::codegen(format!("unknown enum '{}'", enum_name.node))"
"src/codegen/lower/mod.rs",1987,codegen,"CompileError::codegen(format!("unknown class '{class_name}'"))"
"src/codegen/lower/mod.rs",1993,codegen,"CompileError::codegen(format!("unknown field '{}'", field.node))"
"src/codegen/lower/mod.rs",2001,codegen,"Err(CompileError::codegen(format!("field access on non-class type {obj_type}")))"
"src/codegen/lower/mod.rs",2032,codegen,"Err(CompileError::codegen("closures should be lifted before codegen"))"
"src/codegen/lower/mod.rs",2073,codegen,"_ => Err(CompileError::codegen("spawn should contain ClosureCreate after lifting"))"
"src/codegen/lower/mod.rs",2077,codegen,"Err(CompileError::codegen("range expressions can only be used as for loop iterables".to_string()))"
"src/codegen/lower/mod.rs",2109,codegen,"_ => return Err(CompileError::codegen(format!("cannot interpolate {t}"))),"
"src/codegen/lower/mod.rs",2228,codegen,"_ => return Err(CompileError::codegen(format!("invalid {}() argument type in lowered AST", name.node))),"
"src/codegen/lower/mod.rs",2245,codegen,"_ => return Err(CompileError::codegen(format!("invalid {}() argument type in lowered AST", name.node))),"
"src/codegen/lower/mod.rs",2295,codegen,"CompileError::codegen(format!("undefined function '{}'", name.node))"
"src/codegen/lower/mod.rs",2334,codegen,"CompileError::codegen(format!("unknown class '{}'", name.node))"
"src/codegen/lower/mod.rs",2351,codegen,".ok_or_else(|| CompileError::codegen(format!("unknown field '{}' on class '{}'", lit_name.node, name.node)))?;"
"src/codegen/lower/mod.rs",2380,codegen,"CompileError::codegen(format!("unknown enum '{}'", enum_name.node))"
"src/codegen/lower/mod.rs",2569,codegen,"_ => return Err(CompileError::codegen(format!("to_equal not supported for {inner_type}"))),"
"src/codegen/lower/mod.rs",2580,codegen,"_ => return Err(CompileError::codegen(format!("unknown assertion method: {}", method.node))),"
"src/codegen/lower/mod.rs",2603,codegen,"_ => return Err(CompileError::codegen(format!("Task has no method '{}'", method.node)))"
"src/codegen/lower/mod.rs",2628,codegen,"_ => return Err(CompileError::codegen(format!("Sender has no method '{}'", method.node)))"
"src/codegen/lower/mod.rs",2643,codegen,"_ => return Err(CompileError::codegen(format!("Receiver has no method '{}'", method.node)))"
"src/codegen/lower/mod.rs",2724,codegen,"return Err(CompileError::codegen(format!("array has no method '{}'", method.node)));"
"src/codegen/lower/mod.rs",2756,codegen,"_ => return Err(CompileError::codegen(format!("Map has no method '{}'", method.node))),"
"src/codegen/lower/mod.rs",2784,codegen,"_ => return Err(CompileError::codegen(format!("Set has no method '{}'", method.node))),"
"src/codegen/lower/mod.rs",2799,codegen,"_ => Err(CompileError::codegen(format!("bytes has no method '{}'", method.node))),"
"src/codegen/lower/mod.rs",2877,codegen,"_ => Err(CompileError::codegen(format!("string has no method '{}'", method.node))),"
"src/codegen/lower/mod.rs",2884,codegen,"CompileError::codegen(format!("unknown trait '{trait_name}'"))"
"src/codegen/lower/mod.rs",2889,codegen,"CompileError::codegen(format!("trait '{trait_name}' has no method '{}'", method.node))"
"src/codegen/lower/mod.rs",2939,codegen,"CompileError::codegen(format!("undefined method '{}'", method.node))"
"src/codegen/lower/mod.rs",3001,codegen,"Err(CompileError::codegen(format!("method call on non-class type {obj_type}")))"
"src/codegen/lower/mod.rs",3012,codegen,"CompileError::codegen(format!("undefined closure function '{}'", fn_name))"
"src/codegen/lower/mod.rs",3028,codegen,"CompileError::codegen(format!("undefined capture variable '{}'", cap_name))"
"src/codegen/lower/mod.rs",3069,codegen,"return Err(CompileError::codegen(format!("cannot print {arg_type}")));"
"src/codegen/lower/mod.rs",3174,codegen,"CompileError::codegen(format!("closure '{}' missing __env param", func.name.node))"
"src/codegen/lower/mod.rs",3572,codegen,"CompileError::codegen(format!("missing generator next function '{next_name}'"))"
